Namespace(co_lambda=0.9, dataset='CARS', epoch_decay_start=80, exponent=1, forget_rate=None, lr=5e-05, model_type='B', n_epoch=50, noise_rate=0.7, noise_type='symmetric', num_gradual=10, num_workers=4, print_freq=50, result_dir='results', seed=1, top_bn=False)
iter train_acc1 train_acc2 val_p11 val_map1 val_p12 val_map2 test_acc1 test_map1 test_acc2 test_map2
1 0.925 1.125 0.08407738095238096 0.004552741733968508 0.08581349206349206 0.004567124834026016 0.08407738095238096 0.004943636992363737 0.08705357142857142 0.004735097787868558
2 1.1875 1.225 0.08234126984126984 0.004251275788103021 0.07936507936507936 0.004297360924607723 0 0 0 0
3 1.125 1.3625 0.07738095238095238 0.0036246083014369944 0.06919642857142858 0.0035997044638217644 0 0 0 0
4 1.2875 1.4125 0.07514880952380952 0.003835462517177786 0.07242063492063493 0.0037778246638905063 0 0 0 0
5 1.075 1.175 0.1001984126984127 0.004935166158113383 0.0873015873015873 0.004845251931018968 0.09027777777777778 0.0050268362542977086 0.09375 0.0051048197885639034
6 1.1375 1.1125 0.11011904761904762 0.00583013227111377 0.09895833333333333 0.005292387260440933 0.11185515873015874 0.00615724594893282 0.09796626984126984 0.005608279828099575
7 1.3125 1.2875 0.109375 0.0061533394087253095 0.09176587301587301 0.005403689867684993 0 0 0 0
8 1.5 1.5 0.12078373015873016 0.007339918571009287 0.10094246031746032 0.006432041310990135 0.1195436507936508 0.007457536578501411 0.11135912698412699 0.007113253521716474
9 1.2625 1.2625 0.13764880952380953 0.009238900911101895 0.11284722222222222 0.00791594879020795 0.13219246031746032 0.009277733954797075 0.11433531746031746 0.007793780270381749
10 1.7625 1.6875 0.15004960317460317 0.011172917981436412 0.1232638888888889 0.008955855155966362 0.16294642857142858 0.011941487634863713 0.12946428571428573 0.008956606322308847
11 1.725 1.825 0.16790674603174602 0.01503592313897501 0.14930555555555555 0.01279097330927542 0.18526785714285715 0.015043410133337029 0.14955357142857142 0.013151470662563763
12 2.4875 2.4125 0.17212301587301587 0.014797953242978862 0.16641865079365079 0.014631094925842048 0.1857638888888889 0.016038421656967054 0.17113095238095238 0.015057840342626616
13 2.675 2.725 0.21478174603174602 0.01907986965915197 0.18799603174603174 0.01779593670245958 0.2152777777777778 0.019243354028295225 0.18774801587301587 0.018091877364359486
14 3.4125 3.3625 0.2105654761904762 0.02050140560279998 0.20089285714285715 0.02013384343850332 0 0 0 0
15 4.1625 3.75 0.23214285714285715 0.022609320735628515 0.22321428571428573 0.022061077212077614 0.2564484126984127 0.0280391527621273 0.23735119047619047 0.025474000624626004
16 4.6625 4.525 0.24503968253968253 0.024279971697018538 0.23660714285714285 0.025427154907138844 0.2757936507936508 0.030676578040565942 0.2591765873015873 0.029803231306583126
17 5.4 4.925 0.26959325396825395 0.029027805673779116 0.2619047619047619 0.027373188466544334 0.28794642857142855 0.03390412414687834 0.2802579365079365 0.03126954720780366
18 5.9875 5.8625 0.28794642857142855 0.02985293157589405 0.2777777777777778 0.030390864129890383 0.30456349206349204 0.03479304341950605 0.28521825396825395 0.03413304162834546
19 6.2125 5.9125 0.3003472222222222 0.033220801423213715 0.29290674603174605 0.03201941528072091 0.3115079365079365 0.037294377402592574 0.3030753968253968 0.035996350213617245
